lakeID,dateSet,temp,pH,conductivity
ID,5/30/2019,17.5,7.8,12.5
BY,6/3/2019,16.9,8.8,192.5
HT,6/5/2019,17.7,8.1,23.5
BY,6/4/2019,19.8,8.8,191.2
HT,6/6/2019,22.1,8.1,24
BY,6/10/2019,20.7,8.6,192.5
UG,6/11/2019,20.5,8,112
UG,6/23/2019,20.3,8.6,116.6
BY,6/24/2019,20.5,8.2,190.6
DY,6/26/2019,22.5,7,9.5
SV,6/26/2019,23.1,8.3,233
SV,6/30/2019,24.5,8.3,234.6
DY,7/1/2019,23,7.2,9.2
PN,7/7/2019,24.3,8.7,101.4
LV,7/8/2019,26.7,8.4,117.9
UG,7/11/2019,24.5,8.26,115
BK,7/15/2019,24.3,7.99,48.8
BOT,7/16/2019,26.1,8.87,63.5
BY,7/17/2019,25.6,8.7,197.8
ER,7/18/2019,25.9,7.34,50.5
LT,7/22/2019,24.1,8.32,78.8
AV,7/23/2019,24.2,8.12,40.7
BY,7/24/2019,25.9,8.83,198
PK,7/24/2019,24,8.4,75
SA,7/29/2019,24.1,7.1,15.6
SV,7/31/2019,24.4,8.26,241
DS,8/1/2019,24.8,8.24,74.9
PK,8/4/2019,26.6,8.21,78
AQ,8/6/2019,24.4,7.98,84.2
LT,8/6/2019,25.7,9.01,82.1
UG,8/7/2019,25.1,8.45,117
SM,8/8/2019,23.3,8.05,41.2
PT,8/18/2019,21.2,8.41,71.1
LT,8/19/2019,22.3,7.95,82.1
